fecha_uso;Qhora;OD;EO;ED;LINEA ORIGEN;LINEA DESTINO;t_exp
2024;8:00:00;ACEVEDO-AGUACATALA;ACEVEDO;AGUACATALA;A;A;31.26
2024;16:45:00;ACEVEDO-AGUACATALA;ACEVEDO;AGUACATALA;A;A;3.45
2024;9:00:00;ACEVEDO-AGUACATALA;ACEVEDO;AGUACATALA;A;A;27.41
2024;7:30:00;ACEVEDO-AGUACATALA;ACEVEDO;AGUACATALA;A;A;51.36
2024;20:30:00;ACEVEDO-AGUACATALA;ACEVEDO;AGUACATALA;A;A;7.68
2024;19:45:00;ACEVEDO-AGUACATALA;ACEVEDO;AGUACATALA;A;A;3.63
2024;11:00:00;ACEVEDO-AGUACATALA;ACEVEDO;AGUACATALA;A;A;4.92
2024;13:45:00;ACEVEDO-AGUACATALA;ACEVEDO;AGUACATALA;A;A;4.64
2024;18:45:00;ACEVEDO-AGUACATALA;ACEVEDO;AGUACATALA;A;A;3.57
2024;16:15:00;ACEVEDO-AGUACATALA;ACEVEDO;AGUACATALA;A;A;7.85
2024;10:45:00;ACEVEDO-AGUACATALA;ACEVEDO;AGUACATALA;A;A;13.05
2024;10:15:00;ACEVEDO-AGUACATALA;ACEVEDO;AGUACATALA;A;A;12.66
2024;21:00:00;ACEVEDO-AGUACATALA;ACEVEDO;AGUACATALA;A;A;10.8
2024;18:30:00;ACEVEDO-AGUACATALA;ACEVEDO;AGUACATALA;A;A;3.69
2024;8:15:00;ACEVEDO-AGUACATALA;ACEVEDO;AGUACATALA;A;A;32.72
2024;6:15:00;ACEVEDO-AGUACATALA;ACEVEDO;AGUACATALA;A;A;92.43
2024;17:45:00;ACEVEDO-AGUACATALA;ACEVEDO;AGUACATALA;A;A;1.69
2024;7:00:00;ACEVEDO-AGUACATALA;ACEVEDO;AGUACATALA;A;A;111.21
2024;13:00:00;ACEVEDO-AGUACATALA;ACEVEDO;AGUACATALA;A;A;17.86
2024;14:15:00;ACEVEDO-AGUACATALA;ACEVEDO;AGUACATALA;A;A;5.23
2024;5:15:00;ACEVEDO-AGUACATALA;ACEVEDO;AGUACATALA;A;A;116.66
2024;22:45:00;ACEVEDO-AGUACATALA;ACEVEDO;AGUACATALA;A;A;1.67
2024;19:30:00;ACEVEDO-AGUACATALA;ACEVEDO;AGUACATALA;A;A;3.67
2024;12:45:00;ACEVEDO-AGUACATALA;ACEVEDO;AGUACATALA;A;A;18.71
2024;14:00:00;ACEVEDO-AGUACATALA;ACEVEDO;AGUACATALA;A;A;4.39
2024;16:00:00;ACEVEDO-AGUACATALA;ACEVEDO;AGUACATALA;A;A;5.61
2024;11:15:00;ACEVEDO-AGUACATALA;ACEVEDO;AGUACATALA;A;A;1.48
2024;6:30:00;ACEVEDO-AGUACATALA;ACEVEDO;AGUACATALA;A;A;94.38
2024;17:30:00;ACEVEDO-AGUACATALA;ACEVEDO;AGUACATALA;A;A;1.75
2024;21:15:00;ACEVEDO-AGUACATALA;ACEVEDO;AGUACATALA;A;A;7.34
2024;12:30:00;ACEVEDO-AGUACATALA;ACEVEDO;AGUACATALA;A;A;24.39
2024;7:15:00;ACEVEDO-AGUACATALA;ACEVEDO;AGUACATALA;A;A;88.81
2024;13:45:00;ACEVEDO-AGUACATALA;ACEVEDO;AGUACATALA;A;A;3.1
2024;15:00:00;ACEVEDO-AGUACATALA;ACEVEDO;AGUACATALA;A;A;1.94
2024;19:00:00;ACEVEDO-AGUACATALA;ACEVEDO;AGUACATALA;A;A;10.4
2024;12:15:00;ACEVEDO-AGUACATALA;ACEVEDO;AGUACATALA;A;A;19.28
2024;11:45:00;ACEVEDO-AGUACATALA;ACEVEDO;AGUACATALA;A;A;23.82
2024;20:15:00;ACEVEDO-AGUACATALA;ACEVEDO;AGUACATALA;A;A;8.07
2024;5:30:00;ACEVEDO-AGUACATALA;ACEVEDO;AGUACATALA;A;A;91.6
2024;20:45:00;ACEVEDO-AGUACATALA;ACEVEDO;AGUACATALA;A;A;7.37
2024;10:45:00;ACEVEDO-AGUACATALA;ACEVEDO;AGUACATALA;A;A;1.46
2024;10:00:00;ACEVEDO-AGUACATALA;ACEVEDO;AGUACATALA;A;A;18.77
2024;18:15:00;ACEVEDO-AGUACATALA;ACEVEDO;AGUACATALA;A;A;1.69
2024;5:00:00;ACEVEDO-AGUACATALA;ACEVEDO;AGUACATALA;A;A;67.44
2024;7:45:00;ACEVEDO-AGUACATALA;ACEVEDO;AGUACATALA;A;A;36.72
2024;12:00:00;ACEVEDO-AGUACATALA;ACEVEDO;AGUACATALA;A;A;1.42
2024;10:30:00;ACEVEDO-AGUACATALA;ACEVEDO;AGUACATALA;A;A;16.01
2024;15:45:00;ACEVEDO-AGUACATALA;ACEVEDO;AGUACATALA;A;A;3.85
