dia;linea_Servicio;Hora;Afluencia
1/01/2019;A;4:00:00;14
2/01/2019;A;4:00:00;8890
3/01/2019;A;4:00:00;9879
4/01/2019;A;4:00:00;9829
5/01/2019;A;4:00:00;8658
6/01/2019;A;4:00:00;2813
7/01/2019;A;4:00:00;2718
8/01/2019;A;4:00:00;11584
9/01/2019;A;4:00:00;11014
10/01/2019;A;4:00:00;11274
11/01/2019;A;4:00:00;10960
12/01/2019;A;4:00:00;9756
13/01/2019;A;4:00:00;3014
14/01/2019;A;4:00:00;12452
15/01/2019;A;4:00:00;12399
16/01/2019;A;4:00:00;11764
17/01/2019;A;4:00:00;12057
18/01/2019;A;4:00:00;12435
19/01/2019;A;4:00:00;10222
20/01/2019;A;4:00:00;2877
21/01/2019;A;4:00:00;12939
22/01/2019;A;4:00:00;12858
23/01/2019;A;4:00:00;13129
24/01/2019;A;4:00:00;12923
25/01/2019;A;4:00:00;12943
26/01/2019;A;4:00:00;10640
27/01/2019;A;4:00:00;2992
28/01/2019;A;4:00:00;13498
29/01/2019;A;4:00:00;13113
30/01/2019;A;4:00:00;13237
31/01/2019;A;4:00:00;12842
1/02/2019;A;4:00:00;12859
2/02/2019;A;4:00:00;10538
3/02/2019;A;4:00:00;2730
4/02/2019;A;4:00:00;13523
5/02/2019;A;4:00:00;13712
6/02/2019;A;4:00:00;13507
7/02/2019;A;4:00:00;13296
8/02/2019;A;4:00:00;13293
9/02/2019;A;4:00:00;10858
10/02/2019;A;4:00:00;3050
11/02/2019;A;4:00:00;13778
12/02/2019;A;4:00:00;13969
13/02/2019;A;4:00:00;13606
14/02/2019;A;4:00:00;13296
15/02/2019;A;4:00:00;10034
16/02/2019;A;4:00:00;10569
17/02/2019;A;4:00:00;2896
18/02/2019;A;4:00:00;14064
19/02/2019;A;4:00:00;13406
20/02/2019;A;4:00:00;12893
21/02/2019;A;4:00:00;13757
22/02/2019;A;4:00:00;13422
23/02/2019;A;4:00:00;10656
24/02/2019;A;4:00:00;2608
25/02/2019;A;4:00:00;13909
26/02/2019;A;4:00:00;13882
27/02/2019;A;4:00:00;13602
28/02/2019;A;4:00:00;13692
1/03/2019;A;4:00:00;13307
2/03/2019;A;4:00:00;10583
3/03/2019;A;4:00:00;2919
4/03/2019;A;4:00:00;13989
5/03/2019;A;4:00:00;13778
6/03/2019;A;4:00:00;14828
7/03/2019;A;4:00:00;14787
8/03/2019;A;4:00:00;14125
9/03/2019;A;4:00:00;10928
10/03/2019;A;4:00:00;3040
11/03/2019;A;4:00:00;14311
12/03/2019;A;4:00:00;13963
13/03/2019;A;4:00:00;3600
14/03/2019;A;4:00:00;13805
15/03/2019;A;4:00:00;13286
16/03/2019;A;4:00:00;10901
17/03/2019;A;4:00:00;3014
18/03/2019;A;4:00:00;14869
19/03/2019;A;4:00:00;14267
20/03/2019;A;4:00:00;14486
21/03/2019;A;4:00:00;13857
22/03/2019;A;4:00:00;13841
23/03/2019;A;4:00:00;11065
24/03/2019;A;4:00:00;3031
25/03/2019;A;4:00:00;3163
26/03/2019;A;4:00:00;14626
27/03/2019;A;4:00:00;14053
28/03/2019;A;4:00:00;14166
29/03/2019;A;4:00:00;12675
30/03/2019;A;4:00:00;11124
31/03/2019;A;4:00:00;2998
1/04/2019;A;4:00:00;14080
2/04/2019;A;4:00:00;13264
3/04/2019;A;4:00:00;13964
4/04/2019;A;4:00:00;14096
5/04/2019;A;4:00:00;13189
6/04/2019;A;4:00:00;11094
7/04/2019;A;4:00:00;3195
